단어,난이도,쉬운표현,카테고리
이행,3,실제로 함,법률
준수,3,규칙을 지킴,법률
위반,3,규칙을 어김,법률
제재,3,벌을 줌,법률
과태료,3,가벼운 벌금,법률
불가항력,3,어쩔 수 없는 사정,법률
재량행위,3,선택할 수 있는 행정행위,법률
하자,3,잘못이나 결함,법률
무효,3,처음부터 효력 없음,법률
철회,3,나중에 효력을 없앰,법률
실효,3,효력이 사라짐,법률
말소,3,기록을 지움,행정
직권,3,직접 권한으로,행정
위임,3,권한을 넘겨줌,법률
위탁,3,일을 맡김,행정
이의신청,3,결정에 반대 의견 제출,법률
행정심판,3,행정 결정에 대한 재심사,법률
행정소송,3,법원에 행정 다툼,법률
가처분,3,임시로 정해둠,법률
강제집행,3,강제로 실행함,법률
압류,3,재산을 못 쓰게 막음,법률
공탁,3,돈을 맡겨둠,법률
청산,3,정리하여 마무리함,법률
양도,3,권리를 넘겨줌,법률
전세권,3,전세로 사용할 권리,법률
임차권,3,빌려 쓸 권리,법률
점유,3,실제로 가지고 있음,법률
선의,3,모르고 한 것,법률
악의,3,알고서 한 것,법률
과실,3,실수로 잘못함,법률
고의,3,일부러 잘못함,법률
지역권,3,남의 땅 통행 권리,법률
법인,3,회사 같은 단체,법률
개인,3,한 사람,법률
단체,3,모임,법률
기관,3,조직,행정
부서,3,부문,행정
담당,3,맡음,행정
소속,3,속함,행정
대표,3,대신하는 사람,행정
이사,3,회사 임원,법률
감사,3,검사하는 사람,법률
주주,3,주식 가진 사람,법률
출자,3,돈을 냄,법률
배당,3,이익을 나눔,법률
증자,3,자본금 늘림,법률
감자,3,자본금 줄임,법률
합병,3,회사 합침,법률
분할,3,회사 나눔,법률
해산,3,없앰,법률
파산,3,망함,법률
회생,3,다시 살아남,법률
채권,3,돈 받을 권리,법률
채무,3,돈 갚을 의무,법률
채권자,3,돈 받을 사람,법률
채무자,3,돈 갚을 사람,법률
담보,3,빚 보증,법률
보증인,3,대신 갚아줄 사람,법률
연대보증,3,같이 책임짐,법률
물상보증,3,물건으로 보증,법률
근저당,3,최고액 담보,법률
저당권,3,담보 권리,법률
피담보채권,3,담보된 빚,법률
변제,3,빚 갚음,법률
상환,3,돈 돌려줌,법률
대위변제,3,대신 갚음,법률
추심,3,돈 받아냄,법률
독촉,3,빨리 하라고 함,법률
최고,3,마지막 경고,법률
내용증명,3,보낸 내용 증명,법률
공증,3,공식 확인,법률
인증,3,맞다고 확인,법률
공시,3,공개 알림,법률
등기,3,공식 기록,법률
등재,3,기록에 올림,법률
말소등기,3,등기 지움,법률
이전등기,3,등기 옮김,법률
보존등기,3,처음 등기,법률
설정등기,3,권리 등기,법률
가등기,3,임시 등기,법률
본등기,3,정식 등기,법률
촉탁,3,부탁해서 함,법률
위촉,3,맡김,행정
선임,3,뽑음,행정
해임,3,그만두게 함,행정
사임,3,스스로 그만둠,행정
면직,3,직위 없앰,행정
파면,3,쫓아냄,행정
해고,3,자름,행정
징계,3,벌줌,행정
견책,3,꾸짖음,행정
감봉,3,월급 깎음,행정
정직,3,일 못하게 함,행정
강등,3,직급 내림,행정
승진,3,직급 올림,행정
전보,3,자리 옮김,행정
파견,3,다른 곳에 보냄,행정
복직,3,다시 일함,행정
퇴직,3,일 그만둠,행정
정년,3,은퇴 나이,행정
명예퇴직,3,일찍 그만둠,행정
희망퇴직,3,원해서 그만둠,행정
권고사직,3,그만두라고 함,행정
의원면직,3,원해서 그만둠,행정
당연퇴직,3,자동 퇴직,행정
계고,3,경고함,행정
경고,3,주의줌,행정
주의,3,조심하라 함,행정
시정,3,고치라 함,행정
시정명령,3,고치라는 명령,행정
영업정지,3,장사 못하게 함,행정
허가취소,3,허가 없앰,행정
과징금,3,위반 벌금,법률
이행강제금,3,안 하면 내는 돈,법률
부과,3,내라고 함,행정
징수,3,걷음,행정
체납,3,안 냄,행정
독촉장,3,내라는 서류,행정
납부고지서,3,내라는 알림,행정
고지,3,알림,행정
송달,3,서류 전달,법률
공시송달,3,공고로 전달,법률
특별송달,3,직접 전달,법률
우편송달,3,우편 전달,법률
교부,3,줌,행정
수교,3,받음,행정
반려,3,돌려보냄,행정
보완,3,부족한 거 채움,행정
보정,3,고침,행정
각하,3,안 받아들임,법률
기각,3,인정 안함,법률
인용,3,인정함,법률
취하,3,철회함,법률
항고,3,다시 심사 요청,법률
상소,3,윗 법원에 요청,법률
항소,3,2심 요청,법률
상고,3,대법원 요청,법률
재항고,3,다시 항고,법률
즉시항고,3,바로 항고,법률
준용,4,비슷하게 적용,법률
소급,4,과거로 거슬러 적용,법률
기속행위,4,반드시 해야 하는 행정행위,법률
경정,4,잘못을 바로잡음,법률
대집행,4,대신 실행하고 비용 청구,법률
가압류,4,미리 재산을 막아둠,법률
상계,4,서로 빚을 없앰,법률
양수,4,권리를 받음,법률
저당,4,빚의 담보로 잡힘,법률
질권,4,물건을 담보로 맡김,법률
유치권,4,돈 받을 때까지 보관,법률
지상권,4,남의 땅 사용 권리,법률
전용물권,4,독점 사용 권리,법률
용익물권,4,사용 수익 권리,법률
담보물권,4,담보로 쓸 권리,법률
물권,4,물건에 대한 권리,법률
채권,4,돈 받을 권리,법률
형성권,4,권리를 만드는 권리,법률
항변권,4,거절할 권리,법률
청구권,4,달라고 할 권리,법률
지배권,4,지배할 권리,법률
선취특권,4,먼저 받을 권리,법률
법정지상권,4,법으로 정한 지상권,법률
관습법상지상권,4,관습으로 인정된 지상권,법률
분묘기지권,4,묘지 사용 권리,법률
법정담보물권,4,법으로 정한 담보권,법률
약정담보물권,4,약속으로 정한 담보권,법률
류치권,4,가지고 있을 권리,법률
동시이행항변권,4,같이 하자는 권리,법률
불안의항변권,4,불안할 때 거절할 권리,법률
상사유치권,4,상거래 유치권,법률
민사유치권,4,민사 유치권,법률
채권자대위권,4,채권자가 대신 행사할 권리,법률
채권자취소권,4,채권자가 취소할 권리,법률
사해행위,4,채권자를 해치는 행위,법률
원상회복,4,원래대로 되돌림,법률
부당이득,4,정당하지 않은 이익,법률
불법행위,4,위법한 행동,법률
공동불법행위,4,함께 한 위법 행동,법률
사용자책임,4,고용주의 책임,법률
공작물책임,4,건물주의 책임,법률
제조물책임,4,만든 사람의 책임,법률
무과실책임,4,잘못 없어도 지는 책임,법률
과실상계,4,잘못 나눠 책임,법률
손익상계,4,이익 빼고 계산,법률
위자료,4,정신적 피해 보상,법률
일실이익,4,잃은 수익,법률
적극적손해,4,실제 손해,법률
소극적손해,4,얻지 못한 이익,법률
특별손해,4,예외적 손해,법률
통상손해,4,보통 생기는 손해,법률
예견가능성,4,미리 알 수 있었는지,법률
인과관계,4,원인과 결과 관계,법률
상당인과관계,4,일반적 인과관계,법률
위법성조각사유,4,위법성 없애는 이유,법률
정당방위,4,정당하게 막음,법률
긴급피난,4,급해서 피함,법률
자력구제,4,스스로 해결함,법률
피해자승낙,4,피해자가 동의함,법률
위법성인식,4,위법인 줄 앎,법률
책임능력,4,책임질 수 있는 능력,법률
의사능력,4,판단할 수 있는 능력,법률
행위능력,4,법적 행위 능력,법률
권리능력,4,권리 가질 능력,법률
제한능력자,4,능력이 제한된 사람,법률
미성년자,4,어린 사람,법률
피성년후견인,4,후견받는 성인,법률
피한정후견인,4,일부 후견받는 성인,법률
부재자,4,없는 사람,법률
실종선고,4,없다고 선언,법률
인정사망,4,죽었다고 인정,법률
동시사망추정,4,같이 죽었다고 봄,법률
상속,4,재산 물려받음,법률
유증,4,유언으로 줌,법률
사인증여,4,죽으면 주는 약속,법률
유류분,4,최소 상속분,법률
기여분,4,기여한 만큼,법률
특별수익,4,미리 받은 것,법률
한정승인,4,재산 한도 내 상속,법률
상속포기,4,상속 안 받음,법률
단순승인,4,그냥 상속받음,법률
재산분리,4,재산 따로 관리,법률
상속재산파산,4,상속재산 파산,법률
유언,4,죽기 전 남긴 말,법률
유언집행자,4,유언 실행하는 사람,법률
유언검인,4,유언 확인 절차,법률
비밀증서유언,4,비밀 유언,법률
자필증서유언,4,직접 쓴 유언,법률
공정증서유언,4,공증 유언,법률
구수증서유언,4,말로 한 유언,법률
녹음유언,4,녹음한 유언,법률
대습상속,4,대신 상속함,법률
본위상속,4,직접 상속함,법률
호주승계,4,가장 지위 승계,법률
친양자,4,완전 입양 자녀,법률
양자,4,입양 자녀,법률
파양,4,입양 취소,법률
이혼,4,결혼 해소,법률
협의이혼,4,합의 이혼,법률
재판이혼,4,소송 이혼,법률
혼인취소,4,결혼 취소,법률
약혼,4,결혼 약속,법률
약혼해제,4,약혼 취소,법률
사실혼,4,실제 결혼,법률
내연관계,4,비공식 관계,법률
친권,4,부모 권리,법률
양육권,4,키울 권리,법률
면접교섭권,4,만날 권리,법률
부양의무,4,돌볼 의무,법률
친족,4,가족,법률
인척,4,결혼으로 맺어진 가족,법률
혈족,4,피로 맺어진 가족,법률
직계혈족,4,위아래 가족,법률
방계혈족,4,옆 가족,법률
존속,4,윗세대,법률
비속,4,아랫세대,법률
배우자,4,남편 또는 아내,법률
금치산자,4,재산관리 금지된 사람,법률
한정치산자,4,재산관리 제한된 사람,법률
성년의제,4,성인으로 봄,법률
촌수,4,가족 거리,법률
근친혼,4,가까운 가족 결혼,법률
중혼,4,두번 결혼,법률
혼인신고,4,결혼 신고,법률
입적,4,호적에 올림,법률
제적,4,호적에서 뺌,법률
분가,4,따로 호적 만듦,법률
복적,4,호적 돌아옴,법률
취적,4,호적 만듦,법률
무적자,4,호적 없는 사람,법률
기아,4,버려진 아이,법률
미아,4,잃어버린 아이,법률
후견인,4,대신 돌보는 사람,법률
피후견인,4,돌봄받는 사람,법률
법정대리인,4,법으로 정한 대리인,법률
임의대리인,4,스스로 정한 대리인,법률
복대리인,4,대리인의 대리인,법률
표현대리,4,겉으로 보이는 대리,법률
무권대리,4,권한 없는 대리,법률
추인,4,나중에 인정함,법률
철회,4,취소함,법률
취소,4,없던 일로 함,법률
무효,4,처음부터 효력 없음,법률
법률행위,4,법적 효과 있는 행위,법률
